,city,township,province,longitude,latitude,population,total_devices
365,Groessen,Duiven,Gelderland,6.02639,51.93167,1955,200
366,Zaandijk,Zaanstad,Noord-Holland,4.80686,52.47494,9040,1944
367,Doetinchem,Doetinchem,Gelderland,6.28889,51.965,49906,14138
368,Zweeloo,Coevorden,Drenthe,6.73056,52.795,345,11
369,Aalsmeerderbrug,Haarlemmermeer,Noord-Holland,4.75,52.27417,505,3522
370,Beuningen,Beuningen,Gelderland,5.76667,51.86083,25557,2963
371,Lutjebroek,Stede Broec,Noord-Holland,5.20417,52.6975,2120,56
372,Vijfhuizen,Haarlemmermeer,Noord-Holland,4.67778,52.35083,1895,183
373,Egmond aan Zee,Bergen (NH),Noord-Holland,4.62705,52.6204,2505,42
374,Elst,Overbetuwe,Gelderland,5.84167,51.91917,20488,2434
375,Stavenisse,Tholen,Zeeland,4.0125,51.5875,1505,84
376,Berkhout,Koggenland,Noord-Holland,5.00139,52.64083,1905,234
377,Riethoven,Bergeijk,Noord-Brabant,5.3875,51.35417,1420,43
378,Posterholt,Roerdalen,Limburg,6.03472,51.12333,3540,131
379,Petten,Schagen,Noord-Holland,4.66111,52.76667,1640,11
380,De Westereen,Dantumadeel (Dantumadiel),Friesland (Fryslân),6.0363,53.25731,5030,206
381,Twello,Voorst,Gelderland,6.10278,52.23667,13500,753
382,Halsteren,Bergen op Zoom,Noord-Brabant,4.26785,51.52834,9850,385
383,Eemnes,Eemnes,Utrecht,5.26111,52.25417,9112,264
384,Dronten,Dronten,Flevoland,5.71806,52.525,28073,14065
385,Heemserveen,Hardenberg,Overijssel,6.56667,52.58167,0,29
386,Zierikzee,Schouwen-Duiveland,Zeeland,3.91944,51.65,10483,309
387,Zevenaar,Zevenaar,Gelderland,6.07083,51.93,26063,2914
388,Ruinen,De Wolden,Drenthe,6.35417,52.7625,2610,1039
389,Neede,Berkelland,Gelderland,6.61389,52.13417,7730,518
390,Klazienaveen,Emmen,Drenthe,6.99028,52.72417,11919,576
391,Reuver,Beesel,Limburg,6.07778,51.28417,6140,841
392,Middenmeer,Hollands Kroon,Noord-Holland,4.99861,52.80667,3155,207
393,Edam,Edam-Volendam,Noord-Holland,5.04805,52.51215,7380,79
394,Berkel en Rodenrijs,Lansingerland,Zuid-Holland,4.47865,51.99313,20189,1852
395,Wessem,Maasgouw,Limburg,5.88146,51.15954,2050,11
396,Haarsteeg,Heusden,Noord-Brabant,5.19861,51.71167,2100,160
397,Klimmen,Voerendaal,Limburg,5.88056,50.87583,1780,123
398,Montfoort,Montfoort,Utrecht,4.95278,52.04583,13879,580
399,Handel,Gemert-Bakel,Noord-Brabant,5.70972,51.58,1310,56
400,Menaam,Menaldumadeel (Menaldumadiel),Friesland (Fryslân),5.66124,53.21797,2682,111
401,Geestdorp,Woerden,Utrecht,4.90694,52.0975,165,41
402,Siegerswoude,Opsterland,Friesland (Fryslân),6.2447,53.09974,830,3
403,Uithuizermeeden,Eemsmond,Groningen,6.72361,53.41417,2775,115
404,Utrecht,Utrecht (Ut),Utrecht,5.12222,52.09083,290529,65490
405,Breda,Breda,Noord-Brabant,4.77596,51.58656,167673,38752
406,Mijdrecht,De Ronde Venen,Utrecht,4.8625,52.20667,15230,924
407,Drogteropslagen,De Wolden,Drenthe,6.49861,52.6225,290,315
408,Wouwse Plantage,Roosendaal,Noord-Brabant,4.3875,51.48417,590,12
409,Tegelen,Venlo,Limburg,6.13611,51.34417,20190,683
410,Heukelom,Oisterwijk,Noord-Brabant,5.15694,51.57667,0,100
411,Fijnaart,Moerdijk,Noord-Brabant,4.46944,51.6375,4855,197
412,Papendrecht,Papendrecht,Zuid-Holland,4.6875,51.83167,31621,2683
413,Soerendonk,Cranendonck,Noord-Brabant,5.575,51.30083,1660,48
414,Wanroij,Sint Anthonis,Noord-Brabant,5.81806,51.6575,2340,129
415,Dirkshorn,Schagen,Noord-Holland,4.775,52.75,1480,35
416,Oude Pekela,Pekela,Groningen,7.00972,53.10417,7580,207
417,Nieuw-Balinge,Midden-Drenthe,Drenthe,6.60694,52.76667,765,14
418,Deest,Druten,Gelderland,5.66667,51.89,1655,200
419,Katwijk aan den Rijn,Katwijk,Zuid-Holland,4.42222,52.19417,5940,1
420,Echteld,Neder-Betuwe,Gelderland,5.49583,51.91,545,235
421,Sint Hubert,Mill en Sint Hubert,Noord-Brabant,5.80833,51.67833,10831,227
422,Schipluiden,Midden-Delfland,Zuid-Holland,4.31389,51.97583,3635,24
423,Mijnsheerenland,Binnenmaas,Zuid-Holland,4.4875,51.79667,1775,47
424,Drongelen,Aalburg,Noord-Brabant,5.05417,51.71583,235,60
425,Serooskerke,Veere,Zeeland,3.59444,51.54833,1605,56
426,Meerssen,Meerssen,Limburg,5.75,50.8875,5650,436
427,Binnenwijzend,Drechterland,Noord-Holland,5.14444,52.68,245,259
428,Gemert,Gemert-Bakel,Noord-Brabant,5.69028,51.55583,15995,1113
429,Wolvega,Weststellingwerf,Friesland (Fryslân),5.99691,52.87545,12730,1285
430,Schagen,Schagen,Noord-Holland,4.79861,52.7875,5910,2252
431,Gennep,Gennep,Limburg,5.97361,51.69833,16642,1498
432,Broekhuizenvorst,Horst aan de Maas,Limburg,6.15694,51.495,870,10
433,Oud Verlaat,Zuidplas,Zuid-Holland,4.55278,51.97833,380,1045
433,Oud Verlaat,Lansingerland,Zuid-Holland,4.55278,51.97833,380,1045
434,Emmen,Emmen,Drenthe,6.90694,52.77917,57010,8341
435,Oijen,Oss,Noord-Brabant,5.50278,51.82417,745,60
436,Dinteloord,Steenbergen,Noord-Brabant,4.36944,51.635,5105,99
437,Gebroek,Echt-Susteren,Limburg,5.87266,51.09533,0,1089
438,Hallum,Ferwerderadeel (Ferwerderadiel),Friesland (Fryslân),5.78379,53.30657,2355,44
439,Hoorn,Hoorn,Noord-Holland,5.05972,52.6425,68852,7476
440,Tholen,Tholen,Zeeland,4.22083,51.53167,7475,395
441,Meppel,Meppel,Drenthe,6.19444,52.69583,30697,33200
442,Huls,Simpelveld,Limburg,5.97222,50.84417,345,4
443,Wittelte,Westerveld,Drenthe,6.30774,52.82889,110,20
444,Berg,Valkenburg aan de Geul,Limburg,5.78333,50.86167,18741,82
445,Diever,Westerveld,Drenthe,6.31806,52.85417,2175,110
446,Simpelveld,Simpelveld,Limburg,5.98194,50.83417,2405,146
447,Gerkesklooster,Achtkarspelen,Friesland (Fryslân),6.20367,53.23794,730,2
448,Beekbergen,Apeldoorn,Gelderland,5.96389,52.16,2545,133
449,Oranje,Midden-Drenthe,Drenthe,6.44722,52.9075,395,97
450,Boxmeer,Boxmeer,Noord-Brabant,5.94722,51.64667,12407,1865
451,Volendam,Edam-Volendam,Noord-Holland,5.07083,52.495,22000,1717
452,Medemblik,Medemblik,Noord-Holland,5.10556,52.77167,41500,422
453,Bloemendaal,Bloemendaal,Noord-Holland,4.62222,52.4025,3905,1725
454,Leerdam,Leerdam,Zuid-Holland,5.09167,51.89333,20758,524
455,Nieuw-Namen,Hulst,Zeeland,4.16111,51.2925,0,3
456,Kruisweg,Lansingerland,Zuid-Holland,4.54444,52.04417,330,89
457,Hoensbroek,Heerlen,Limburg,5.92528,50.92387,25000,1004
458,Lichtenvoorde,Oost Gelre,Gelderland,6.56667,51.98667,19590,1101
459,Kessel,Peel en Maas,Limburg,6.05417,51.29167,3020,138
460,Langeheit,Zaanstad,Noord-Holland,4.75849,52.492,1180,1346
461,Sint Willebrord,Rucphen,Noord-Brabant,4.58889,51.54833,8655,493
462,Sappemeer,Hoogezand-Sappemeer,Groningen,6.79028,53.16417,34305,113
463,Raalte,Raalte,Overijssel,6.275,52.38583,20015,1830
464,Eefde,Lochem,Gelderland,6.225,52.16667,3285,80
465,Haaften,Neerijnen,Gelderland,5.21111,51.81583,2370,198
466,Winsum,Winsum,Groningen,6.52083,53.33,13560,318
467,Nieuwveen,Nieuwkoop,Zuid-Holland,4.75694,52.19667,1265,34
468,Voorthuizen,Barneveld,Gelderland,5.60556,52.18667,9710,911
469,Vlierden,Deurne,Noord-Brabant,5.75833,51.445,1115,1073
470,De Lier,Westland,Zuid-Holland,4.24861,51.975,11823,270
471,Bronkhorst,Bronckhorst,Gelderland,6.17917,52.07583,95,10
472,Sint-Michielsgestel,Sint-Michielsgestel,Noord-Brabant,5.35278,51.64167,2580,309
473,Callantsoog,Schagen,Noord-Holland,4.69583,52.84,2420,201
474,Haarlem,Haarlem,Noord-Holland,4.63683,52.38084,147590,219159
475,Brunssum,Brunssum,Limburg,5.97083,50.94667,29254,1883
476,Nijkerk,Nijkerk,Gelderland,5.48611,52.22,38335,3558
477,Klarenbeek,Apeldoorn,Gelderland,6.0625,52.1675,565,45
478,Blokzijl,Steenwijkerland,Overijssel,5.96111,52.72667,1110,95
479,Voerendaal,Voerendaal,Limburg,5.92978,50.88327,12390,405
480,Emmeloord,Noordoostpolder,Flevoland,5.74861,52.71083,46409,3128
481,Zaamslag,Terneuzen,Zeeland,3.9125,51.3125,2980,83
482,Ysselsteyn,Venray,Limburg,5.89722,51.49,2260,14
483,Schoonebeek,Emmen,Drenthe,6.88472,52.6625,3845,146
484,Zuidlaren,Tynaarlo,Drenthe,6.68194,53.09417,3905,255
485,Aarle-Rixtel,Laarbeek,Noord-Brabant,5.63839,51.50976,5125,267
486,Bergen op Zoom,Bergen op Zoom,Noord-Brabant,4.29167,51.495,66256,5886
487,Gorinchem,Gorinchem,Zuid-Holland,4.97243,51.83652,34736,2612
488,IJmuiden,Velsen,Noord-Holland,4.61048,52.4603,31925,1734
489,Willemstad,Moerdijk,Noord-Brabant,4.43889,51.69167,800,11847
490,Noardburgum,Tietjerksteradeel (Tytsjerksteradiel),Friesland (Fryslân),6.00523,53.22135,2385,16
491,Angeren,Lingewaard,Gelderland,5.95833,51.91583,2275,501
492,Laren,Lochem,Gelderland,6.36528,52.19417,11508,865
493,Scheemda,Oldambt,Groningen,6.97222,53.17333,2395,306
494,Oldenzaal,Oldenzaal,Overijssel,6.92917,52.31333,31410,3114
495,Woudrichem,Woudrichem,Noord-Brabant,5.00139,51.815,4674,59
496,Scherpenisse,Tholen,Zeeland,4.10556,51.54667,1605,112
497,Eibergen,Berkelland,Gelderland,6.64861,52.1,16493,1067
498,Zuilichem,Zaltbommel,Gelderland,5.13611,51.80917,1245,11
499,Soest,Soest,Utrecht,5.3029,52.1781,45021,211025
500,Roosendaal,Roosendaal,Noord-Brabant,4.46528,51.53083,77725,8116
501,Leek,Leek,Groningen,6.37639,53.1625,19651,1814
502,Leende,Heeze-Leende,Noord-Brabant,5.55417,51.35083,15886,104
503,Vierpolders,Brielle,Zuid-Holland,4.17917,51.87917,1215,50
504,Rietmolen,Berkelland,Gelderland,6.6625,52.14083,525,26
505,Tynaarlo,Tynaarlo,Drenthe,6.61667,53.0775,1530,69
506,Delft,Delft,Zuid-Holland,4.35556,52.00667,95060,14164
507,Vijlen,Vaals,Limburg,5.96528,50.78833,1290,63
508,Sneek,Súdwest-Fryslân,Friesland (Fryslân),5.6589,53.03297,32811,3563
509,Heteren,Overbetuwe,Gelderland,5.75556,51.95667,4805,173
510,Akkrum,Heerenveen,Friesland (Fryslân),5.83087,53.05024,3440,162
511,Kesteren,Neder-Betuwe,Gelderland,5.56944,51.935,4455,260
512,Dongen,Dongen,Noord-Brabant,4.93889,51.62667,25464,1696
513,Staphorst,Staphorst,Overijssel,6.21111,52.645,15765,2280
514,Lopik,Lopik,Utrecht,4.94861,51.9725,14395,1245
515,Appingedam,Appingedam,Groningen,6.85833,53.32167,11801,482
516,Deventer,Deventer,Overijssel,6.16389,52.255,97331,11676
517,Hidaard,Littenseradeel (Littenseradiel),Friesland (Fryslân),5.60337,53.07897,130,25
518,Eperheide,Gulpen-Wittem,Limburg,5.89306,50.7725,125,11
519,Delfzijl,Delfzijl,Groningen,6.91806,53.33,28649,898
520,Heythuysen,Leudal,Limburg,5.89861,51.25,6420,2033
521,Avenhorn,Koggenland,Noord-Holland,4.95139,52.6175,2945,122
522,Mook,Mook en Middelaar,Limburg,5.88194,51.7525,7768,74
523,Puiflijk,Druten,Gelderland,5.59028,51.87833,1105,173
524,Grootegast,Grootegast,Groningen,6.27361,53.2125,3350,405
525,Made,Drimmelen,Noord-Brabant,4.79306,51.67667,11795,403
526,Tzummarum,Franekeradeel,Friesland (Fryslân),5.54612,53.23733,1205,59
527,Harkstede,Slochteren,Groningen,6.69861,53.21333,2490,46
528,Anna Jacobapolder,Tholen,Zeeland,4.12917,51.63917,230,201
529,Heinenoord,Binnenmaas,Zuid-Holland,4.47659,51.82602,610,21
530,Uden,Uden,Noord-Brabant,5.61944,51.66083,34601,5212
531,Rijnsburg,Katwijk,Zuid-Holland,4.44167,52.19,7990,162
532,Woudsend,Súdwest-Fryslân,Friesland (Fryslân),5.62843,52.94357,1375,63
533,Sas van Gent,Terneuzen,Zeeland,3.79861,51.2275,3856,35
534,Schimmert,Nuth,Limburg,5.82361,50.90667,2310,83
535,Blauwe Keet,Den Helder,Noord-Holland,4.7802,52.89658,50,91
536,Scheveningen,'s-Gravenhage,Zuid-Holland,4.27557,52.10461,23000,105
537,Terwispel,Opsterland,Friesland (Fryslân),6.0478,53.01973,545,32
538,Oosterhesselen,Coevorden,Drenthe,6.72222,52.75417,1690,36
539,Udenhout,Tilburg,Noord-Brabant,5.14306,51.60917,7650,412
540,Oudewater,Oudewater,Utrecht,4.86806,52.025,10180,230
541,Bergen aan Zee,Bergen (NH),Noord-Holland,4.63056,52.66083,2505,30
542,Wapenveld,Heerde,Gelderland,6.07361,52.42917,3995,173
543,Ruinerwold,De Wolden,Drenthe,6.24861,52.72333,2485,168
544,Aldeboarn,Heerenveen,Friesland (Fryslân),5.9,53.05,1525,19
545,Maasland,Midden-Delfland,Zuid-Holland,4.27222,51.93417,4545,163
546,Hattemerbroek,Oldebroek,Gelderland,6.02222,52.47417,1025,428
547,Vollenhove,Steenwijkerland,Overijssel,5.95417,52.68083,3955,190
548,Mussel,Stadskanaal,Groningen,7.03889,52.955,985,51
549,Breedenbroek,Oude IJsselstreek,Gelderland,6.47222,51.87333,440,122
550,Parrega,Súdwest-Fryslân,Friesland (Fryslân),5.47909,53.01871,335,11
551,Marle,Hellendoorn,Overijssel,6.48056,52.42417,75,69
552,Heerenveen,Heerenveen,Friesland (Fryslân),5.91854,52.95929,43094,5095
553,Roelofarendsveen,Kaag en Braassem,Zuid-Holland,4.63333,52.20333,2710,358
554,Koufurderrige,Súdwest-Fryslân,Friesland (Fryslân),5.65423,52.95647,65,17
555,Schaijk,Landerd,Noord-Brabant,5.63194,51.74583,5970,455
556,Noorbeek,Eijsden-Margraten,Limburg,5.8125,50.76917,750,38
557,Vinkeveen,De Ronde Venen,Utrecht,4.93372,52.21507,2340,89
558,Oost-Vlieland,Vlieland,Friesland (Fryslân),5.07431,53.29703,1025,115
559,Scharnegoutum,Súdwest-Fryslân,Friesland (Fryslân),5.67822,53.06051,1540,49
560,Maarssen,Stichtse Vecht,Utrecht,5.04167,52.13917,39675,1960
561,Kootstertille,Achtkarspelen,Friesland (Fryslân),6.09209,53.21261,2180,58
562,Honselersdijk,Westland,Zuid-Holland,4.22441,52.00665,7366,493
563,Okkenbroek,Deventer,Overijssel,6.31944,52.29833,290,115
564,Zaandam,Zaanstad,Noord-Holland,4.82643,52.43854,71708,6626
565,Rinnegom,Bergen (NH),Noord-Holland,4.65,52.60917,180,98
566,Heemskerk,Heemskerk,Noord-Holland,4.67165,52.51108,36170,2066
567,Rijen,Gilze en Rijen,Noord-Brabant,4.91944,51.59083,16230,4410
568,Kootwijkerbroek,Barneveld,Gelderland,5.66944,52.15083,1690,162
569,Aalten,Aalten,Gelderland,6.58056,51.925,19141,1078
570,Oude Meer,Haarlemmermeer,Noord-Holland,4.78611,52.28833,175,2361
571,Ballast,Coevorden,Drenthe,6.73299,52.67218,1710,528
572,Sloten,De Friese Meren,Friesland (Fryslân),5.64526,52.89477,735,10
573,Maasdijk,Westland,Zuid-Holland,4.21389,51.95917,5000,207
574,De Krim,Hardenberg,Overijssel,6.61806,52.64917,250,18
575,Hillegom,Hillegom,Zuid-Holland,4.58333,52.29083,18419,1248
576,Warnsveld,Zutphen,Gelderland,6.23056,52.1375,9200,59
577,Aalden,Coevorden,Drenthe,6.71806,52.79,1625,26
578,Velsen-Zuid,Velsen,Noord-Holland,4.65,52.46,67758,914
579,Sliedrecht,Sliedrecht,Zuid-Holland,4.77639,51.82083,23854,1178
580,Venray,Venray,Limburg,5.975,51.525,39047,2345
581,Rozenburg,Rotterdam,Zuid-Holland,4.24861,51.90417,12420,4899
582,Nieuwkuijk,Heusden,Noord-Brabant,5.18194,51.69,2140,42
583,Gilze,Gilze en Rijen,Noord-Brabant,4.94028,51.54417,0,438
584,Assen,Assen,Drenthe,6.5625,52.99667,62237,7764
585,Maarheeze,Cranendonck,Noord-Brabant,5.61667,51.31167,4715,123
586,Sterrenberg,Soest,Utrecht,5.28194,52.11417,0,3280
587,Oudendijk,Korendijk,Zuid-Holland,4.27361,51.7725,435,38
588,De Kwakel,Uithoorn,Noord-Holland,4.79306,52.23917,4435,351
589,Neerloon,Oss,Noord-Brabant,5.67639,51.78833,205,53
590,Bruinisse,Schouwen-Duiveland,Zeeland,4.09444,51.66167,3100,251
591,Tiel,Tiel,Gelderland,5.42917,51.88667,40702,4760
592,Horstermeer,Wijdemeren,Noord-Holland,5.07778,52.25,750,18
593,Vlagtwedde,Vlagtwedde,Groningen,7.10833,53.0275,1955,361
594,Westeinde,Enkhuizen,Noord-Holland,5.26528,52.70083,100,83
595,Peize,Noordenveld,Drenthe,6.49722,53.14667,4295,172
596,Langenboom,Mill en Sint Hubert,Noord-Brabant,5.73056,51.70417,1400,34
597,Thorn,Maasgouw,Limburg,5.84167,51.16167,2295,152
598,Oosterwolde,Ooststellingwerf,Friesland (Fryslân),6.29096,52.99164,9245,1344
599,Roosteren,Echt-Susteren,Limburg,5.81806,51.08333,1125,34
600,Vlaardingen,Vlaardingen,Zuid-Holland,4.34167,51.9125,73798,3554
601,Hoeven,Halderberge,Noord-Brabant,4.58333,51.57917,4895,303
602,Woudenberg,Woudenberg,Utrecht,5.41667,52.08083,13021,4432
603,Berghem,Oss,Noord-Brabant,5.56827,51.76991,6500,734
604,Graft,Alkmaar,Noord-Holland,4.83056,52.56083,6450,1
605,Tussenlanen,Krimpenerwaard,Zuid-Holland,4.80417,51.94083,110,84
606,Bennekom,Ede,Gelderland,5.67639,51.99833,14810,492
607,Kekerdom,Groesbeek,Gelderland,6.00833,51.86417,485,34
608,Nieuw- en Sint Joosland,Middelburg,Zeeland,3.65694,51.48333,1140,25
609,Groesbeek,Groesbeek,Gelderland,5.93611,51.77667,18741,748
610,Geldrop,Geldrop-Mierlo,Noord-Brabant,5.55972,51.42167,27900,1135
611,Krimpen aan den IJssel,Krimpen aan den IJssel,Zuid-Holland,4.60278,51.91667,29017,14378
612,Huizen,Huizen,Noord-Holland,5.24167,52.29917,45292,3442
613,Maarn,Utrechtse Heuvelrug,Utrecht,5.37083,52.06417,4618,499
614,Sint Joost,Echt-Susteren,Limburg,5.89861,51.1175,1310,22
615,Elsen,Hof van Twente,Overijssel,6.53889,52.27,760,3712
616,Giessenburg,Giessenlanden,Zuid-Holland,4.89028,51.85083,4800,1015
617,Maasbracht,Maasgouw,Limburg,5.88627,51.13929,5680,543
618,Graaf,Lopik,Utrecht,4.97917,51.98083,12999,18
619,Volkel,Uden,Noord-Brabant,5.65417,51.6425,0,51
620,Hoek van Holland,Rotterdam,Zuid-Holland,4.13333,51.9775,9400,470
621,Nieuwe Pekela,Pekela,Groningen,6.96528,53.07917,3895,44
622,Wommels,Littenseradeel (Littenseradiel),Friesland (Fryslân),5.58749,53.10883,2065,47
623,Sprundel,Rucphen,Noord-Brabant,4.59722,51.5375,3625,41
624,Ven-Zelderheide,Gennep,Limburg,6.02361,51.7125,610,11
625,Bemmel,Lingewaard,Gelderland,5.89861,51.89167,12020,600
626,Hoogvliet,Rotterdam,Zuid-Holland,4.3625,51.86333,34950,1629
627,Giessen,Woudrichem,Noord-Brabant,5.03056,51.79,1640,4
628,Kampen,Kampen,Overijssel,5.91111,52.555,48980,19870
629,Noordwijk-Binnen,Noordwijk,Zuid-Holland,4.44474,52.234,24363,2671
630,Geertruidenberg,Geertruidenberg,Noord-Brabant,4.85694,51.70167,20941,108
631,De Belt,Hardenberg,Overijssel,6.53889,52.63833,75,110
632,Hasselt,Zwartewaterland,Overijssel,6.09527,52.59267,6959,1103
633,Diffelen,Hardenberg,Overijssel,6.55972,52.5225,130,5
634,Eindewege,Goes,Zeeland,3.81667,51.4975,215,172
635,Eenigenburg,Schagen,Noord-Holland,4.725,52.74167,170,423
636,Beek gem Montferland,Montferland,Gelderland,6.1875,51.90667,1315,95
637,Winterswijk,Winterswijk,Gelderland,6.71944,51.9725,29623,3397
638,Sevenum,Horst aan de Maas,Limburg,6.0375,51.4125,5035,551
639,Norg,Noordenveld,Drenthe,6.45833,53.06667,3290,117
640,Dussen,Werkendam,Noord-Brabant,4.9625,51.73083,2528,31
641,Stoutenburg,Leusden,Utrecht,5.43611,52.1525,365,45
642,Helmond,Helmond,Noord-Brabant,5.66111,51.48167,74740,11293
643,Gieten,Aa en Hunze,Drenthe,6.76389,53.005,4885,577
644,'s-Gravenzande,Westland,Zuid-Holland,4.16528,52.00167,19190,824
645,Milsbeek,Gennep,Limburg,5.94861,51.725,2055,99
646,Sexbierum,Franekeradeel,Friesland (Fryslân),5.48402,53.21823,1530,45
647,Schiedam,Schiedam,Zuid-Holland,4.3792,51.9337,75438,5699
648,Epse,Lochem,Gelderland,6.2,52.225,1470,42
649,Ulft,Oude IJsselstreek,Gelderland,6.37778,51.89,0,412
650,Elsloo,Stein,Limburg,5.77083,50.94917,7220,269
651,Poortugaal,Albrandswaard,Zuid-Holland,4.39444,51.85833,55,183
652,Weesp,Weesp,Noord-Holland,5.04167,52.3075,17802,5072
653,Zuid-Scharwoude,Langedijk,Noord-Holland,4.80833,52.68667,6165,904
654,Lijnden,Haarlemmermeer,Noord-Holland,4.75694,52.3525,705,1703
655,Sint Nicolaasga,De Friese Meren,Friesland (Fryslân),5.74242,52.92293,3285,67
656,Siddeburen,Slochteren,Groningen,6.86806,53.25,2910,33
657,Woerden,Woerden,Utrecht,4.88333,52.085,48431,4548
658,Boxtel,Boxtel,Noord-Brabant,5.32917,51.59083,29511,2189
659,Kamperland,Noord-Beveland,Zeeland,3.70417,51.57167,1610,177
660,Warffum,Eemsmond,Groningen,6.55833,53.3925,1950,42
661,Workum,Súdwest-Fryslân,Friesland (Fryslân),5.4471,52.97969,4105,97
662,Monnickendam,Waterland,Noord-Holland,5.0375,52.45833,2015,250
663,Culemborg,Culemborg,Gelderland,5.22778,51.955,26826,1586
664,Urmond,Stein,Limburg,5.77222,50.99083,3560,171
665,Schalkhaar,Deventer,Overijssel,6.19444,52.26833,4610,150
666,Baarlo,Peel en Maas,Limburg,6.09444,51.33083,5215,600
667,'s-Heerenberg,Montferland,Gelderland,6.25877,51.8767,4720,207
668,Saasveld,Dinkelland,Overijssel,6.80694,52.33167,660,98
669,Zandberg,Borger-Odoorn,Drenthe,7.02627,52.91868,0,30
670,Beek,Beek,Limburg,5.79722,50.94083,8415,1065
671,Nieuw Moscou,Hoogeveen,Drenthe,6.5375,52.6725,547,182
672,Stolwijk,Krimpenerwaard,Zuid-Holland,4.77361,51.9725,3730,239
673,Naaldwijk,Westland,Zuid-Holland,4.20972,51.99417,17753,76579
674,Franeker,Franekeradeel,Friesland (Fryslân),5.54123,53.18546,12996,1132
675,Driel,Overbetuwe,Gelderland,5.81389,51.95917,2940,57
676,Nederasselt,Heumen,Gelderland,5.74444,51.77167,645,27
677,Lutjewinkel,Hollands Kroon,Noord-Holland,4.88472,52.76667,490,13
678,Oosthuizen,Zeevang,Noord-Holland,4.99583,52.5725,1260,1381
679,Berkenwoude,Krimpenerwaard,Zuid-Holland,4.70694,51.945,1390,42
680,Joure,De Friese Meren,Friesland (Fryslân),5.80301,52.9657,12902,1114
681,Limmen,Castricum,Noord-Holland,4.69444,52.56917,7300,126
682,Holwerd,Dongeradeel,Friesland (Fryslân),5.90073,53.36815,1435,23
683,Haps,Cuijk,Noord-Brabant,5.86111,51.68917,2165,80
684,Aagtekerke,Veere,Zeeland,3.50972,51.54667,1245,64
685,Feanwâlden,Dantumadeel (Dantumadiel),Friesland (Fryslân),5.98832,53.23558,3440,60
686,Schin op Geul,Valkenburg aan de Geul,Limburg,5.86944,50.85417,725,103
687,Zetten,Overbetuwe,Gelderland,5.71389,51.92833,2985,137
688,Dokkum,Dongeradeel,Friesland (Fryslân),5.99697,53.32224,13145,1994
689,Brielle,Brielle,Zuid-Holland,4.1625,51.90167,2765,1174
690,Muiden,Muiden,Noord-Holland,5.06944,52.33,6285,69
691,Zandvoort,Zandvoort,Noord-Holland,4.53306,52.37125,16868,617
692,Hardenberg,Hardenberg,Overijssel,6.61944,52.57583,57909,6152
693,Noord-Scharwoude,Langedijk,Noord-Holland,4.81111,52.69833,5665,212
694,Westerbork,Midden-Drenthe,Drenthe,6.60833,52.85,4605,168
695,Gouwsluis,Alphen aan den Rijn,Zuid-Holland,4.66899,52.11943,1470,6
696,Klijndijk,Borger-Odoorn,Drenthe,6.85972,52.83167,685,7
697,Gendt,Lingewaard,Gelderland,5.97083,51.8775,5590,240
698,Papenhoven,Sittard-Geleen,Limburg,5.77639,51.04333,730,80
699,Kornhorn,Grootegast,Groningen,6.24306,53.18167,505,11
700,Veghel,Veghel,Noord-Brabant,5.54861,51.61667,25352,3335
701,Stein,Stein,Limburg,5.76667,50.96917,24987,1256
702,Sint Maartensvlotbrug,Schagen,Noord-Holland,4.70833,52.78667,715,23
703,Dalen,Coevorden,Drenthe,6.75556,52.69917,3295,224
704,Hiaure,Dongeradeel,Friesland (Fryslân),5.97227,53.34732,65,6
705,Oosterhout,Oosterhout,Noord-Brabant,4.85972,51.645,53107,5361
706,Middelburg,Middelburg,Zeeland,3.61389,51.5,46485,4248
707,Schinnen,Schinnen,Limburg,5.88889,50.94333,12911,268
708,Sint Geertruid,Eijsden-Margraten,Limburg,5.76528,50.79667,935,37
709,Hengelo,Bronckhorst,Gelderland,6.30972,52.05083,80809,18845
710,Tolkamer,Rijnwaarden,Gelderland,6.10278,51.855,2430,38
711,Dwingeloo,Westerveld,Drenthe,6.36944,52.83417,2430,539
712,IJsselstein,IJsselstein,Utrecht,5.04306,52.02,33886,1568
713,Havelte,Westerveld,Drenthe,6.24015,52.76941,3060,173
714,Swartbroek,Weert,Limburg,5.77361,51.23,555,26
715,Niebert,Marum,Groningen,6.32778,53.16083,520,95
716,Meerlo,Horst aan de Maas,Limburg,6.08472,51.51333,1605,102
717,Olst,Olst-Wijhe,Overijssel,6.10972,52.3375,4780,183
718,Houten,Houten,Utrecht,5.16806,52.02833,1335,2053
719,Helenaveen,Deurne,Noord-Brabant,5.91667,51.39,665,27
720,Rohel,De Friese Meren,Friesland (Fryslân),5.83173,52.91717,270,22
721,Wilhelminapark,Brummen,Gelderland,6.06903,52.0929,0,4
722,Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland,4.65546,52.12917,70251,6380
723,Bangert,Medemblik,Noord-Holland,5.1801,52.73582,1470,168
724,Papenveer,Nieuwkoop,Zuid-Holland,4.725,52.185,1135,827
725,Witmarsum,Súdwest-Fryslân,Friesland (Fryslân),5.46902,53.10452,1585,32
726,America,Horst aan de Maas,Limburg,5.97917,51.43667,1175,57
727,Wenum,Apeldoorn,Gelderland,5.96389,52.255,335,33
728,Hollum,Ameland,Friesland (Fryslân),5.63805,53.4394,1160,119
729,Westbeemster,Beemster,Noord-Holland,4.89861,52.575,400,11
