,city,township,province,longitude,latitude,population,total_devices
82,Moerdijk,Moerdijk,Noord-Brabant,4.62639,51.70167,1030,44
83,Tilligte,Dinkelland,Overijssel,6.95139,52.40583,741,434
84,West-Terschelling,Terschelling,Friesland (Fryslân),5.21482,53.35911,2525,167
85,Sint-Oedenrode,Sint-Oedenrode,Noord-Brabant,5.45972,51.5675,16931,1895
86,Diemen,Diemen,Noord-Holland,4.96256,52.33964,24361,6036
87,Zuidbroek,Menterwolde,Groningen,6.86111,53.16333,2255,178
88,Ool,Roermond,Limburg,5.95139,51.18833,280,216
89,Oisterwijk,Oisterwijk,Noord-Brabant,5.18889,51.57917,25980,1657
90,Biddinghuizen,Dronten,Flevoland,5.69306,52.455,5010,165
91,Maasbree,Peel en Maas,Limburg,6.04861,51.3575,5045,462
92,Wijlre,Gulpen-Wittem,Limburg,5.89583,50.83333,1960,109
93,Erp,Veghel,Noord-Brabant,5.60694,51.6,3600,492
94,Ypenburg,'s-Gravenhage,Zuid-Holland,4.3886,52.069,30000,855
95,Steenbergen,Noordenveld,Drenthe,6.40833,53.1,23582,1361
96,Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,Zuid-Holland,4.63889,51.84417,21027,1956
97,Best,Best,Noord-Brabant,5.39028,51.5075,29074,2194
98,Lauwersoog,De Marne,Groningen,6.21418,53.40468,130,46
99,Heerde,Heerde,Gelderland,6.04016,52.38723,18603,566
100,Rotterdam,Rotterdam,Zuid-Holland,4.4759,51.9186,598199,210537
101,Gronsveld,Eijsden-Margraten,Limburg,5.73056,50.81083,2380,63
102,Oost,Eijsden-Margraten,Limburg,5.7101,50.79568,1240,18
103,Elshout,Heusden,Noord-Brabant,5.14167,51.70083,1655,550
104,Epen,Gulpen-Wittem,Limburg,5.91111,50.77583,725,40
105,Bocholtz,Simpelveld,Limburg,6.00556,50.81833,4340,51
106,Oudega,De Friese Meren,Friesland (Fryslân),5.52235,52.90347,1715,16
107,Westerhoeven,Twenterand,Overijssel,6.58194,52.42167,160,305
108,Silvolde,Oude IJsselstreek,Gelderland,6.3875,51.90917,4850,441
109,Schijndel,Schijndel,Noord-Brabant,5.43194,51.6225,23239,1574
110,Haren,Haren,Groningen,6.60931,53.17209,9375,1025
111,Boijl,Weststellingwerf,Friesland (Fryslân),6.19972,52.90921,525,14
112,Gnephoek,Alphen aan den Rijn,Zuid-Holland,4.62778,52.14,185,52
113,Beesel,Beesel,Limburg,6.03889,51.26833,13444,72
114,Zwijndrecht,Zwijndrecht,Zuid-Holland,4.63333,51.8175,45696,2199
115,Wassenaar,Wassenaar,Zuid-Holland,4.40278,52.14583,25353,2660
116,Kropswolde,Hoogezand-Sappemeer,Groningen,6.72361,53.1425,180,15
117,Loil,Montferland,Gelderland,6.14167,51.95333,840,1289
118,Eindhoven,Eindhoven,Noord-Brabant,5.47778,51.44083,209620,73303
119,Kronenberg,Horst aan de Maas,Limburg,6.0,51.41583,670,20
120,De Cocksdorp,Texel,Noord-Holland,4.87083,53.15667,535,41
121,Ede,Ede,Gelderland,5.65833,52.03333,67670,17910
122,Leiderdorp,Leiderdorp,Zuid-Holland,4.52917,52.15833,25966,1369
123,Hegelsom,Horst aan de Maas,Limburg,6.03889,51.43917,1185,1038
124,Helden,Peel en Maas,Limburg,6.0,51.31917,5530,988
125,Abbenes,Haarlemmermeer,Noord-Holland,4.59167,52.235,855,1132
126,Rande,Deventer,Overijssel,6.12639,52.29,115,91
127,Veenendaal,Veenendaal,Utrecht,5.55891,52.02863,61271,6977
128,Hilversum,Hilversum,Noord-Holland,5.17639,52.22333,83640,13942
129,Borculo,Berkelland,Gelderland,6.52222,52.11583,10373,214
130,Klundert,Moerdijk,Noord-Brabant,4.53472,51.665,5405,404
131,Hattem,Hattem,Gelderland,6.06389,52.475,11876,546
132,Noordwolde,Weststellingwerf,Friesland (Fryslân),6.14153,52.88964,3605,56
133,Vorden,Bronckhorst,Gelderland,6.30972,52.105,4900,492
134,Hellum,Slochteren,Groningen,6.83889,53.23833,515,14
135,Opheusden,Neder-Betuwe,Gelderland,5.63194,51.93167,5460,221
136,Goirle,Goirle,Noord-Brabant,5.06667,51.52083,22646,1342
137,Vaals,Vaals,Limburg,6.01806,50.77083,6970,460
138,Elsendorp,Gemert-Bakel,Noord-Brabant,5.76944,51.58083,560,29
139,Maren-Kessel,Oss,Noord-Brabant,5.39306,51.79583,645,10
140,Zijdewind,Hollands Kroon,Noord-Holland,4.83889,52.7425,290,23
141,Sluiskil,Terneuzen,Zeeland,3.83611,51.27833,2411,38
142,Wedde,Bellingwedde,Groningen,7.07917,53.06917,600,34
143,Dorst,Oosterhout,Noord-Brabant,4.85694,51.59,1965,278
144,Terneuzen,Terneuzen,Zeeland,3.82778,51.33583,27930,1128
145,Naarden,Naarden,Noord-Holland,5.1625,52.29583,17115,436
146,Hippolytushoef,Hollands Kroon,Noord-Holland,4.9625,52.9075,4800,437
147,Baarn,Baarn,Utrecht,5.2875,52.21167,24584,2632
148,Odijk,Bunnik,Utrecht,5.23611,52.0525,5480,25
149,Beusichem,Buren,Gelderland,5.29167,51.95,2750,20
150,Den Hout,Oosterhout,Noord-Brabant,4.8125,51.6575,0,24
151,Oosterleek,Drechterland,Noord-Holland,5.19722,52.63917,285,692
152,Heino,Raalte,Overijssel,6.23282,52.43661,6459,585
153,Milheeze,Gemert-Bakel,Noord-Brabant,5.77917,51.50167,1400,39
154,Koudum,Súdwest-Fryslân,Friesland (Fryslân),5.44834,52.91551,2600,52
155,Vliedberg,Heusden,Noord-Brabant,5.19031,51.68961,4445,703
156,Gendringen,Oude IJsselstreek,Gelderland,6.37639,51.87333,3880,114
157,Capelle aan den IJssel,Capelle aan den IJssel,Zuid-Holland,4.57778,51.92917,65255,3370
158,Ter Apel,Vlagtwedde,Groningen,7.05972,52.87667,3880,396
159,Aalburg,Aalburg,Noord-Brabant,5.13156,51.75482,6588,611
160,Zwolle,Zwolle,Overijssel,6.1537,52.5538,111805,44228
161,Leusden,Leusden,Utrecht,5.43194,52.1325,29215,1157
162,Boekel,Boekel,Noord-Brabant,5.675,51.60333,10502,1085
163,Kapelle,Kapelle,Zeeland,3.95804,51.48627,65255,467
164,Giethoorn,Steenwijkerland,Overijssel,6.07917,52.74,30697,379
165,Lisserbroek,Haarlemmermeer,Noord-Holland,4.57222,52.25667,3360,16
166,Valkenswaard,Valkenswaard,Noord-Brabant,5.45972,51.35083,31071,2611
167,Varsseveld,Oude IJsselstreek,Gelderland,6.45833,51.94333,5450,415
168,Surhuisterveen,Achtkarspelen,Friesland (Fryslân),6.17031,53.18477,5550,81
169,Blaricum,Blaricum,Noord-Holland,5.24167,52.2725,5060,278
170,Burum,Kollumerland en Nieuwkruisland,Friesland (Fryslân),6.22942,53.2734,525,106
171,Renswoude,Renswoude,Utrecht,5.54028,52.07333,5175,47
172,Heusden,Asten,Noord-Brabant,5.76389,51.38417,1300,88
173,Dordrecht,Dordrecht,Zuid-Holland,4.67361,51.81,119260,13571
174,Lelystad,Lelystad,Flevoland,5.475,52.50833,70741,7921
175,Waddinxveen,Waddinxveen,Zuid-Holland,4.65139,52.045,25338,1440
176,Kollum,Kollumerland en Nieuwkruisland,Friesland (Fryslân),6.15293,53.27695,5230,234
177,Sint Anthonis,Sint Anthonis,Noord-Brabant,5.88194,51.62667,3340,116
178,Broek in Waterland,Waterland,Noord-Holland,4.99583,52.43417,17259,86
179,Borssele,Borsele,Zeeland,3.73472,51.42333,22285,70
180,Ammerzoden,Maasdriel,Gelderland,5.22083,51.74917,3040,63
181,Zoetermeer,Zoetermeer,Zuid-Holland,4.49306,52.0575,115845,10800
182,Oss,Oss,Noord-Brabant,5.51806,51.765,76430,8402
183,Epe,Epe,Gelderland,5.98333,52.3475,33385,1393
184,Herpen,Oss,Noord-Brabant,5.64167,51.77167,2360,15
185,Standdaarbuiten,Moerdijk,Noord-Brabant,4.51389,51.61333,1930,7
186,Doorn,Utrechtse Heuvelrug,Utrecht,5.34571,52.03343,10330,135
187,Nieuwkoop,Nieuwkoop,Zuid-Holland,4.77639,52.15083,28269,222
188,Stiens,Leeuwarderadeel,Friesland (Fryslân),5.75769,53.26234,7300,454
189,Geldermalsen,Geldermalsen,Gelderland,5.28889,51.88083,25734,825
190,Kerkenveld,De Wolden,Drenthe,6.5,52.66833,525,22
191,Nuth,Nuth,Limburg,5.88611,50.9175,4585,401
192,Heeswijk-Dinther,Bernheze,Noord-Brabant,5.475,51.65083,7985,638
193,Ermelo,Ermelo,Gelderland,5.62222,52.29833,10255,4751
194,Axel,Terneuzen,Zeeland,3.90833,51.26667,8149,129
195,Goutum,Leeuwarden,Friesland (Fryslân),5.8037,53.17734,2790,80
196,Beringe,Peel en Maas,Limburg,5.94861,51.33667,1925,124
197,Asten,Asten,Noord-Brabant,5.74861,51.40417,9535,1098
198,Woold,Winterswijk,Gelderland,6.71667,51.93,65,7
199,Westkapelle,Veere,Zeeland,3.44028,51.52917,2515,50
200,Ruurlo,Berkelland,Gelderland,6.45,52.08833,5940,190
201,Teteringen,Breda,Noord-Brabant,4.82083,51.60917,7230,333
202,Born,Sittard-Geleen,Limburg,5.80972,51.03167,2430,560
203,Winkel,Hollands Kroon,Noord-Holland,4.90278,52.75417,3460,70
204,Bolsward,Súdwest-Fryslân,Friesland (Fryslân),5.53176,53.06555,9160,624
205,Terborg,Oude IJsselstreek,Gelderland,6.35417,51.92,4425,181
206,Annen,Aa en Hunze,Drenthe,6.71944,53.0575,3405,37
207,Grou,Leeuwarden,Friesland (Fryslân),5.83745,53.09456,5535,864
208,Voorschoten,Voorschoten,Zuid-Holland,4.44861,52.1275,22468,1213
209,Vledder,Westerveld,Drenthe,6.20833,52.85583,1815,45
210,Vught,Vught,Noord-Brabant,5.2875,51.65333,25043,1672
211,Gulpen,Gulpen-Wittem,Limburg,5.88889,50.81583,14196,314
212,Nieuwegein,Nieuwegein,Utrecht,5.08056,52.02917,61489,3888
213,Nieuwerkerk,Schouwen-Duiveland,Zeeland,4.00139,51.65083,0,73
214,Nistelrode,Bernheze,Noord-Brabant,5.5625,51.70417,6090,79
215,Emmer-Compascuum,Emmen,Drenthe,7.04722,52.81167,8130,402
216,Purmerend,Purmerend,Noord-Holland,4.95972,52.505,76745,4232
217,Someren,Someren,Noord-Brabant,5.71111,51.385,10690,2017
218,Westerbroek,Hoogezand-Sappemeer,Groningen,6.6875,53.18417,370,34
